,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
184,1616,4/22/2021 8:27,2021-04-22 8:13:00,10,FALSE,Almond,Avalon,1,Asian,Speech impairment or limited use of language,TRUE,30,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation," 43mph in a 15mph school zone with children present, taking their child to school",Citation for infraction,2021-04-22 8:13:00,1,
185,1617,4/22/2021 8:51,2021-04-22 8:35:00,8,FALSE,Los Altos Ave,Yerba Santa Ave,1,White,,FALSE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,45mph in a 25,Citation for infraction,2021-04-22 8:35:00,1,
186,1623,4/22/2021 11:14,2021-04-22 11:12:00,12,FALSE,El Camino,,1,Middle Eastern or South Asian,,FALSE,45,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,55 in 35mph zone,Citation for infraction,2021-04-22 11:12:00,1,
187,1624,4/22/2021 11:19,2021-04-22 11:05:00,8,FALSE,University Ave,Burke Rd,1,White,,FALSE,60,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,66mph in a 45,Citation for infraction,2021-04-22 11:05:00,1,
188,1625,4/22/2021 11:19,2021-04-22 11:00:00,11,FALSE,Via del poso,,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,60,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,53mph in 35mph zone,Citation for infraction,2021-04-22 11:00:00,1,
189,1650,4/25/2021 15:36,2021-04-25 15:25:00,8,FALSE,Foothill Expwy,Old Oak,1,Asian,,FALSE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63mph in 45,Citation for infraction,2021-04-25 15:25:00,1,
190,1652,4/25/2021 16:27,2021-04-25 16:15:00,8,FALSE,Foothill Expwy,Magdalena Ave,1,Black/African American,,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,66mph in a 45,Citation for infraction,2021-04-25 16:15:00,1,
191,1654,4/26/2021 10:08,2021-04-26 9:53:00,11,FALSE,Almond,Sunkist,1,Asian,Speech impairment or limited use of language,TRUE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction,2021-04-26 9:53:00,1,
192,1655,4/26/2021 10:25,2021-04-26 10:12:00,7,FALSE,Almond,Alicia,1,Hispanic/Latino(a),,FALSE,40,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,43mph in 25mph zone,Citation for infraction,2021-04-26 10:12:00,1,
193,1657,4/26/2021 13:10,2021-04-26 12:54:00,14,FALSE,Almond,Avalon,1,Hispanic/Latino(a),Speech impairment or limited use of language,TRUE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40mph in a 15mph school zone with students present.,Citation for infraction,2021-04-26 12:54:00,1,
194,1661,4/27/2021 9:07,2021-04-27 8:25:00,12,FALSE,Almond,N gordon,1,White,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40 in 25mph,Citation for infraction,2021-04-27 8:25:00,1,
195,1662,4/27/2021 9:08,2021-04-27 8:41:00,10,FALSE,Almond,N gordon,1,White,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,40mph in 25mph zone,Citation for infraction,2021-04-27 8:41:00,1,
196,1664,4/27/2021 14:01,2021-04-27 13:35:00,14,FALSE,Almond,Alicia,1,Black/African American,,FALSE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,51mph in 25mph zone,Citation for infraction,2021-04-27 13:35:00,1,
197,1665,4/27/2021 14:50,2021-04-27 14:35:00,11,FALSE,Almond,Alicia,1,White,,FALSE,20,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,48mph in 25mph zone,Citation for infraction,2021-04-27 14:35:00,1,
