,stop_id,entry/update time,date_time,duration,call_for_service,location,intersection,PID,race,perceivedDisability,limited_english,age,gender,lgbt,genderNonconforming,evidence_found,actions_taken,personSearchGiven,propertySearchGiven,basis_for_search,basisForSearchExplanation,reason_for_stop,reasonForStopDetail,reasonForStopExplanation,result,entryUpdateTime,Type,speed
92,1800,5/18/2021 18:56,2021-05-18 18:30:00,7,FALSE,EL MONTE AVE,COVINGTON RD,1,Black/African American,,FALSE,25,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 MPH IN A 45 MPH ZONE...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-05-18 18:30:00,1,
93,1802,5/18/2021 19:29,2021-05-18 19:28:00,7,FALSE,FOOTHILL EXP,EL MONTE AVE,1,White,,FALSE,16,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,64 MPH IN A 45 MPH ZONE..DRIVER CITED AND RELEASED,Citation for infraction,2021-05-18 19:28:00,1,
94,1803,5/18/2021 19:46,2021-05-18 19:45:00,7,FALSE,FOOTHILL EXP,MAGDALENA AVE,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61 MPH IN A 45 MPH ZONE...DRIVER CITED AND RELEASED,Citation for infraction,2021-05-18 19:45:00,1,
95,1804,5/18/2021 22:12,2021-05-18 22:05:00,50,FALSE,SAN ANTONIO RD,LOUCKS,1,Hispanic/Latino(a),,FALSE,25,Female,No,FALSE,Drug Paraphernalia,Curbside detention; Search of property was conducted; Vehicle impounded,,,Incident to arrest; Vehicle inventory,DRIVER HAD SUSPENDED DL AND VEH WAS INVENTORIED BEFORE TOW...METH PIPE LOCATED; DRIVER HAD SUSPENDED DL AND VEH WAS INVENTORIED BEFORE TOW...METH PIPE LOCATED,Traffic Violation,Moving Violation,52 MPH IN A 35 MPH ZONE...DRIVER SUSPENDED DL AND 2 CITEABLED WARRANTS...CITED AND RELEASED AND VEH TOWED,In-field cite and release,2021-05-18 22:05:00,2,"52, 35"
96,1817,5/21/2021 11:23,2021-05-21 10:02:00,3,FALSE,Edith,First,1,Middle Eastern or South Asian,,FALSE,70,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 in a 45,Warning (verbal or written),2021-05-21 10:02:00,1,
97,1819,5/21/2021 19:33,2021-05-21 18:32:00,7,FALSE,FOOTHILL EXP,MAGDALENA AVE,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63 MPH IN A 45 MPH ZONE...DRIVER CITED AND RELEASED,Citation for infraction,2021-05-21 18:32:00,1,
98,1822,5/22/2021 19:33,2021-05-22 18:58:00,7,FALSE,FOOTHILL EXP,MAGDALENA AVE,1,White,,FALSE,25,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,61 MPH IN A 45 MPH ZONE...DRIVER CITED AND RELEASED,Citation for infraction,2021-05-22 18:58:00,1,
99,1823,5/22/2021 20:07,2021-05-22 20:06:00,7,FALSE,CUESTA DR,TYNDALL ST,1,Middle Eastern or South Asian,,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 MPH IN A 35 MPH ZONE...DRIVER CITED AND RELEASED,Citation for infraction,2021-05-22 20:06:00,1,
100,1825,5/22/2021 20:40,2021-05-22 20:39:00,7,FALSE,FOOTHILL EXP,MAGDALENA AVE,1,Hispanic/Latino(a),,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62 MPH IN A 45 MPH ZONE...DRIVER CITED AND RELEASED,Citation for infraction,2021-05-22 20:39:00,1,
101,1846,5/26/2021 20:32,2021-05-26 20:30:00,4,FALSE,foothill,main st,1,Middle Eastern or South Asian,,FALSE,65,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63/45 speed,Warning (verbal or written),2021-05-26 20:30:00,1,
102,1866,5/27/2021 18:39,2021-05-27 18:37:00,2,FALSE,MAGDALENA  AVE,FOOTHILL EXP,1,White,,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,68 MPH IN A 45 MPH...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-05-27 18:37:00,1,
103,1867,5/27/2021 18:48,2021-05-27 18:46:00,5,FALSE,FOOTHILL EXPRESSWAY,SPRINGER,1,White,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,65 MPH IN A 45 MPH ZONE....DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-05-27 18:46:00,1,
104,1868,5/27/2021 19:02,2021-05-27 19:00:00,5,FALSE,MAGDALENA AVE,COUNTRY CLUB,1,White,,FALSE,30,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,60 MPH IN A 45 MPH ZONE...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-05-27 19:00:00,1,
105,1869,5/27/2021 19:10,2021-05-27 19:09:00,5,FALSE,FOOTHILL EXP,MAGDALENA AVE,1,Middle Eastern or South Asian,,FALSE,50,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,53 MPH IN A 35 MPH ZONE,Warning (verbal or written),2021-05-27 19:09:00,1,
106,1871,5/27/2021 19:28,2021-05-27 19:26:00,5,FALSE,SPRINGER RD,BERRY AVE,1,White,,FALSE,50,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,53 MPH IN A 35 MPH ZONE...DRIVER WARNED AND RELEASED,Warning (verbal or written),2021-05-27 19:26:00,1,
107,1880,5/28/2021 14:34,2021-05-28 13:18:00,10,FALSE,Foothill Expy,El Monte ave,1,Asian,,FALSE,65,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Changed lanes from #1 lane in front of me into #2 lane and almost collided into car,Citation for infraction,2021-05-28 13:18:00,3,
108,1885,5/29/2021 16:35,2021-05-29 6:51:00,4,FALSE,Grant,Foothill,1,White,,FALSE,35,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,37 in a 25,Warning (verbal or written),2021-05-29 6:51:00,1,
109,1887,5/29/2021 16:58,2021-05-29 16:55:00,5,FALSE,cuesta drive,springer ave,1,White,,FALSE,20,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,41 in a 30,Warning (verbal or written),2021-05-29 16:55:00,1,
110,1938,6/2/2021 15:24,2021-06-02 15:17:00,10,FALSE,Miramonte,Gest,1,White,,FALSE,18,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,42 in 25 on Covington,Warning (verbal or written),2021-06-02 15:17:00,1,
111,1944,6/3/2021 14:53,2021-06-03 9:25:00,10,FALSE,El Camino Real,Del Medio,1,Middle Eastern or South Asian; White,,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Observed driver on cell phone East on El Camino Real #2 lane. Stopped identified by license. Cited and released,Citation for infraction,2021-06-03 9:25:00,3,
112,1963,6/7/2021 11:23,2021-06-07 10:56:00,10,FALSE,El Monte,Foothill Expressway,1,Hispanic/Latino(a),,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Right on red arrow. (3) no right on red signs.,Citation for infraction; Warning (verbal or written),2021-06-07 10:56:00,3,
113,1993,6/14/2021 16:04,2021-06-14 15:40:00,11,FALSE,Foothill,Loyola,1,White,,FALSE,40,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,66 in a 45,Citation for infraction,2021-06-14 15:40:00,1,
114,1996,6/14/2021 21:00,2021-06-14 20:58:00,4,FALSE,foothill,springer,1,Middle Eastern or South Asian,,FALSE,45,Male,No,FALSE,,,,,,,Traffic Violation,Moving Violation,62/45,Warning (verbal or written),2021-06-14 20:58:00,1,
115,2016,6/15/2021 15:25,2021-06-15 14:11:00,3,FALSE,Foothill,Homestead,1,White,,FALSE,70,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,Ran red light from 280 onto foothill,Warning (verbal or written),2021-06-15 14:11:00,3,
116,2034,6/18/2021 18:43,2021-06-18 18:41:00,10,FALSE,foothill,magdalena,1,White,,FALSE,60,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,65/45,Citation for infraction,2021-06-18 18:41:00,1,
117,2036,6/18/2021 19:09,2021-06-18 19:07:00,8,FALSE,foothill,magdalena,1,Asian,,FALSE,45,Female,No,FALSE,,,,,,,Traffic Violation,Moving Violation,63/45,Citation for infraction,2021-06-18 19:07:00,1,
